,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
804,2206951.0,Novo Santo Antônio,22.0,PI,458.43636363636364,487.5181818181818,484.94545454545454,480.09090909090907,681.8181818181819
805,2207009.0,Oeiras,22.0,PI,483.66138613861386,513.6888888888889,494.6207729468599,544.9326732673267,653.3333333333334
806,2207108.0,Olho D'Água do Piauí,22.0,PI,446.96666666666664,474.6933333333334,440.88666666666666,488.5733333333334,532.0
807,2207207.0,Padre Marcos,22.0,PI,463.68888888888887,493.5722222222222,471.90000000000003,511.28888888888895,591.1111111111111
808,2207306.0,Paes Landim,22.0,PI,457.9095238095238,459.77272727272725,457.4636363636364,458.12380952380954,525.4545454545455
809,2207355.0,Pajeú do Piauí,22.0,PI,426.9818181818182,453.25,430.81666666666666,445.1363636363636,415.0
810,2207405.0,Palmeira do Piauí,22.0,PI,440.8285714285715,450.84999999999997,436.34999999999997,458.4857142857143,541.4285714285714
811,2207504.0,Palmeirais,22.0,PI,446.73636363636365,460.5833333333333,439.0083333333334,437.20909090909095,456.6666666666667
812,2207553.0,Paquetá,22.0,PI,430.5444444444445,424.3777777777778,384.5111111111111,411.27777777777777,380.0
813,2207603.0,Parnaguá,22.0,PI,446.404,408.9925925925926,399.237037037037,432.52,375.55555555555554
814,2207702.0,Parnaíba,22.0,PI,498.731102850062,521.7116306954437,513.8654676258992,544.4995043370508,652.3501199040768
815,2207751.0,Passagem Franca do Piauí,22.0,PI,470.91999999999996,509.56000000000006,486.14,463.96000000000004,508.0
816,2207777.0,Patos do Piauí,22.0,PI,441.0,464.5888888888889,450.6222222222222,436.1111111111111,502.22222222222223
817,2207793.0,Pau D'Arco do Piauí,22.0,PI,463.03999999999996,487.0799999999999,500.86,575.1600000000001,536.0
818,2207801.0,Paulistana,22.0,PI,480.76728971962615,502.64864864864865,484.5531531531532,517.892523364486,708.4684684684685
819,2207850.0,Pavussu,22.0,PI,389.6,460.9,377.2,488.0,0.0
